time, kategory1, mood1, weekday, kategory2, mood2
9:30, Study, neutral, fri, freeTime, super
10:00, Study, neutral, fri, freeTime, super
10:30, Study, quiteTired, fri, onTheWay, super
11:00, Study, quiteTired, fri, onTheWay, good
11:30, Study, quiteTired, fri, onTheWay, good
12:00, Study, Tired, fri, onTheWay, good
12:30, food, neutral, fri, onTheWay, good
13:00, food, neutral, fri, food, good
13:30, Study, quiteTired, fri, food, super
14:00, Study, quiteTired, fri, Study, super
14:30, Study, quiteTired, fri, Study, good
15:00, Study, Tired, fri, Study, good
15:30, Study, Tired, fri, Study, alomostGood
16:00, Study, Tired, fri, freeTime, good
16:30, Study, Tired, fri, Study, good
17:00, Study, Tired, fri, Study, good
17:30, Study, exausted, fri, freeTime, good
18:00, Study, exausted, fri, Study, good
18:30, Study, exausted, fri, Study, good
19:00, food, Tired, fri, Study, alomostGood
19:30, food, Tired, fri, food, good
20:00, Study, exausted, fri, food, good
20:30, Study, exausted, fri, Study, good
21:00, Study, exausted, fri, Study, alomostGood
21:30, freeTime, Tired, fri, Study, alomostGood
22:00, freeTime, Tired, fri, freeTime, good
22:30, freeTime, neutral, fri, freeTime, good
23:00, freeTime, neutral, fri, freeTime, super
23:30, hygiene, neutral, fr, hygiene, super
0:00, sleep, sleep, sat, sleep, sleep
0:30, sleep, sleep, sat, sleep, sleep
1:00, sleep, sleep, sat, sleep, sleep
1:30, sleep, sleep, sat, sleep, sleep
2:00, sleep, sleep, sat, sleep, sleep
2:30, sleep, sleep, sat, sleep, sleep
3:00, sleep, sleep, sat, sleep, sleep
3:30, sleep, sleep, sat, sleep, sleep
4:00, sleep, sleep, sat, sleep, sleep
4:30, sleep, sleep, sat, sleep, sleep
5:00, sleep, sleep, sat, sleep, sleep
5:30, sleep, sleep, sat, sleep, sleep
6:00, sleep, sleep, sat, sleep, sleep
6:30, sleep, sleep, sat, sleep, sleep
7:00, sleep, sleep, sat, sleep, sleep
7:30, hygiene, neutral, sat, sleep, sleep
8:00, food, alomostGood, sat, sleep, sleep
8:30, food, alomostGood, sat, hygiene, super
9:00, Study, neutral, sat, food, super
9:30, Study, neutral, sat, food, super
10:00, Study, quiteTired, sat, freeTime, super
10:30, Study, quiteTired, sat, Study, super
11:00, food, neutral, sat, Study, super
11:30, freeTime, alomostGood, sat, Study, good
12:00, Study, neutral, sat, Study, good
12:30, Study, quiteTired, sat, Study, good
13:00, Study, Tired, sat, Study, alomostGood
13:30, onTheWay, neutral, sat, freeTime, good
14:00, onTheWay, alomostGood, sat, freeTime, super
14:30, onTheWay, alomostGood, sat, Study, super
15:00, onTheWay, alomostGood, sat, Study, good
15:30, onTheWay, neutral, sat, Study, good
16:00, onTheWay, quiteTired, sat, Study, good
16:30, onTheWay, quiteTired, sat, Study, alomostGood
17:00, food, alomostGood, sat, Study, alomostGood
17:30, food, alomostGood, sat, food, food
18:00, Study, alomostGood, sat, food, food
18:30, Study, neutral, sat, freeTime, super
19:00, Study, quiteTired, sat, freeTime, super
19:30, Study, Tired, sat, Study, good
20:00, Study, Tired, sat, Study, good
20:30, Study, Tired, sat, Study, alomostGood
21:00, food, neutral, sat, Study, alomostGood
21:30, food, alomostGood, sat, food, good
22:00, freeTime, alomostGood, sat, freeTime, super
22:30, freeTime, good, sat, freeTime, super
23:00, freeTime, good, sat, freeTime, super
23:30, freeTime, good, sat, freeTime, super
0:00, hygiene, good, sun, hygiene, good
0:30, sleep, sleep, sun, sleep, sleep
1:00, sleep, sleep, sun, sleep, sleep
1:30, sleep, sleep, sun, sleep, sleep
2:00, sleep, sleep, sun, sleep, sleep
2:30, sleep, sleep, sun, sleep, sleep
3:00, sleep, sleep, sun, sleep, sleep
3:30, sleep, sleep, sun, sleep, sleep
4:00, sleep, sleep, sun, sleep, sleep
4:30, sleep, sleep, sun, sleep, sleep
5:00, sleep, sleep, sun, sleep, sleep
5:30, sleep, sleep, sun, sleep, sleep
6:00, sleep, sleep, sun, sleep, sleep
6:30, sleep, sleep, sun, sleep, sleep
7:00, sleep, sleep, sun, sleep, sleep
7:30, sleep, sleep, sun, sleep, sleep
8:00, hygiene, good, sun, sleep, sleep
8:30, food, good, sun, hygiene, super
9:00, food, good, sun, food, super
9:30, Study, neutral, sun, freeTime, super
10:00, Study, quiteTired, sun, freeTime, super
10:30, Study, Tired, sun, Study, super
11:00, Study, Tired, sun, Study, good
11:30, food, alomostGood, sun, food, super
12:00, Study, quiteTired, sun, Study, super
12:30, Study, quiteTired, sun, Study, good
13:00, Study, Tired, sun, Study, good
13:30, Study, Tired, sun, Study, good
14:00, Study, Tired, sun, Study, alomostGood
14:30, Study, exausted, sun, freeTime, good
15:00, Study, exausted, sun, freeTime, super
15:30, food, neutral, sun, Study, super
16:00, food, alomostGood, sun, Study, good
16:30, Study, Tired, sun, Study, alomostGood
17:00, Study, Tired, sun, food, good
17:30, Study, exausted, sun, food, super
18:00, Study, exausted, sun, Study, good
18:30, Study, exausted, sun, Study, good
19:00, Study, exausted, sun, Study, alomostGood
19:30, food, quiteTired, sun, freeTime, good
20:00, freeTime, alomostGood, sun, freeTime, super
20:30, Study, quiteTired, sun, food, super
21:00, Study, Tired, sun, food, super
21:30, Study, Tired, sun, Study, good
22:00, Study, exausted, sun, Study, good
22:30, freeTime, quiteTired, sun, freeTime, good
23:00, freeTime, neutral, sun, freeTime, super
23:30, hygiene, neutral, sun, hygiene, super
